Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Aikakone;4;;;1992;Anneli Nygren;Lady Catherine & Miss Chandler;Tv, Televisio, Beauty and the Beast;George R.R. Martin
Aikakone;3;;;1990;Elo, Eija;Alussa oli aa... (ja DNA);Tiede;
Aikakone;4;;;1989;Elo, Eija;Amy hyvä Gorilla;Tiede;
Aikakone;1;;;1992;Elo, Eija;Auringon lapset;Tiede;
Aikakone;1;;;1992;Törmänen, Terhi;Aurinkokunnan kaukaisimmat ja salaperäisimmät: Pluto ja Kharon;Tiede, Avaruus;
Aikakone;3;;;1986;Enqvist, Kari;Costa del Sol, Suomi;Tiede;
Aikakone;2;;;1986;Enqvist, Kari;Gaean poika, taivaiden jumala;Tiede, Avaruus;
Aikakone;2;;;1991;Elo, Eija;Hallucigenia ja kehityksen tikkaat;Tiede;
Aikakone;1;;;1990;Sinisalo, Johanna;Huomispäivän Mars;Tiede, Avaruus;
Aikakone;2;Vol.2 No.2;;1983;Enqvist, Kari;Hyviä uutisia CERNistä;Tiede;
Aikakone;2;Vol.3 No.2;;1984;Enqvist, Kari;Inflaatio on hyväksi maailmankaikkeudelle;Tiede, Avaruus;
Aikakone;3;;;1995;Törmänen, Terhi;Jupiter: Aurinkokunnan kiehtova jättiläinen;Tiede, Avaruus;
Aikakone;1;;;1991;Elo, Eija;Kevätsiivouksen aika;Tiede;
Aikakone;1;Vol.4 No.1;;1985;Enqvist, Kari;Komeetan vuosi;Tiede, Avaruus;
Aikakone;1;;;1993;Törmänen, Terhi;Kuuma ja metallinen Merkurius;Tiede, Avaruus;
Aikakone;2;;;1993;Elo, Eija;Lovernios ja muut suoruumiit;Tiede;
Aikakone;3;Vol.4 No.3;;1985;Enqvist, Kari;Maailmojen synty;Tiede;
Aikakone;4;Vol.2 No.4;;1983;Enqvist, Kari;Mannerten tanssi;Tiede;
Aikakone;1;1-2/1994-95;;1995;Elo, Eija;Mieli kuin viemäri;Tiede;
Aikakone;4;;;1995;Elo, Eija;Mies kylmästä;Tiede;
Aikakone;3;;;1991;Elo, Eija;Mikä tappoi dinosaurukset;Tiede;
Aikakone;4;;;1990;Elo, Eija;Mistä on pienet tytöt tehty;Tiede;
Aikakone;1;;;1993;Elo, Eija;Mitä kaikki tietävät älykkyydestä;Tiede;
Aikakone;1;;;1991;Törmänen, Terhi;Määränpäänä Venus - Venus-tutkimuksen historiaa ja tulevaisuudennäkymiä;Tiede, Avaruus;
Aikakone;1;;;1986;Enqvist, Kari;100 vuotta Niels Bohrin syntymästä;Tiede;
Aikakone;4;Vol.3 No.4;;1984;Enqvist, Kari;Sattumia;Tiede;
Aikakone;3;Vol.3 No.3;;1984;Enqvist, Kari;Taivaiset syklit;Tiede, Avaruus;
Aikakone;1;Vol.3 No.1;;1984;Enqvist, Kari;Talvi on tulossa;Tiede;
Aikakone;3;Vol.2 No.3;;1983;Enqvist, Kari;Tähtien sotaa ilman Darth Vaderia;Tiede;
Aikakone;2;;;1992;Elo, Eija;Veden lapset;Tiede;
Aikakone;4;;;1991;Elo, Eija;Viimeisen näyn kaamea tapaus ja muuta rikoksellista;Tiede;
Aikakone;3;;;1993;Elo, Eija;Viisi miljardia vihreää laidunta;Tiede;
Aikakone;2;;;1990;Elo, Eija;Virusten teleologiaa;Tiede;
Aikakone;4;;;1992;Elo, Eija;Väestöräjähdys aurinkokunnassa;Tiede;
Aikakone;2;Vol.4 No.2;;1985;Enqvist, Kari;Yog-Sothothin kutsu;Tiede;
Aikakone;4;Vol.4 No.4;;1985;Enqvist, Kari;Älykkyyttä etsimässä;Tiede;
Aikakone;4;;;1992;Kasvi, Jyrki J.J.;Gateway toimii myös näyttöruudulla;Tietokonepelit, Pelikonsolit;
Aikakone;2;;;1990;Kasvi, Jyrki J.J.;Tieteistarinat tietokonepeleinä;Tietokonepelit, Pelikonsolit;
Aikakone;2;;;1992;Kasvi, Jyrki J.J.;Virginen DUNE tekee esikuvalleen oikeutta;Tietokonepelit, Pelikonsolit;
Aikakone;3;;;1992;Kasvi, Jyrki J.J.;Wing Commander: kun pelistä tulee kultti;Tietokonepelit, Pelikonsolit;
Aikakone;2;;;1992;Ronni, Tapani;Kersti Juva puhuu;The Tolkien Phenomenon, Suomentaminen;Juva, Kersti & Tolkien, J.R.R.
Aikakone;4;;;1992;Hinkkanen, Juhani;Lisa Tuttle - kirjallinen väliinputoaja;;Lisa Tuttle
Aikakone;4;;;1992;Hinkkanen, Juhani;Lisa Tuttle puhuu;;Lisa Tuttle
Aikakone;2;;;1989;Peltonen, Leena;Tämähän se on hirviöiden aatelia - verenperinnettä vampyyreista;Kauhu, Vampyyrit;
Aikakone;1;Vol.1 No.2;;1982;Enqvist, Kari;John Varley - Avaruusoopperan ylösnousemus;;John Varley
Aikakone;2;;;1988;Kähkönen, Pentti;Ikuinen Jules Verne;;Jules Verne
Aikakone;1;Vol.1 No.1;;1981;Kähkönen, Pentti;Tiederomaanista tieteisromaaniin;;Jules Verne
Aikakone;1;;;1992;Oikarinen, Antti & Törmänen, Terhi;Maarit Verronen puhuu;;Maarit Verronen
Aikakone;1;1-2/1994-95;;1995;Ronni, Tapani;Indrek Rohtmets puhuu;Science Fiction, Viro;
Aikakone;1;1-2/1994-95;;1995;Kivistik, Mario;Virolainen tieteiskirjallisuus;Science Fiction, Viro;
Aikakone;3;Vol.3 No.3;;1984;Ijäs, Jyrki;Kirjailijaprofiili;;Pekka Virtanen
Aikakone;2;;;1991;Hinkkanen, Juhani;Ian Watson puhuu;;Ian Watson
Aikakone;2;;;1993;Savolainen, Matti;Kielen ja mielen upotuksia;;Ian Watson
Aikakone;1;1-2/1994-95;;1995;Watson, Ian;Kuinka ryöstin Sammon;;Ian Watson
Aikakone;4;;;1995;Hinkkanen, Juhani;Sata vuotta Aikakonetta;;Wells H(erbert) G(eorge)
Aikakone;1;Vol.1 No.2;;1982;Markkanen, Olavi;Viktoriaaninen utopisti;;Wells H(erbert) G(eorge)
Aikakone;4;;;1995;Hinkkanen, Juhani;Roger Zelazny 1937-1995;;Roger Zelazny
Aikakone;3;;;1991;Peltonen, Leena;Vaikuttaja kulissien takana - Tom Ölander;;Tom Ölander
