Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Tähtivaeltaja;2;;;2014;Sapkowski, Andrzej;Sapkowski, Andrzej;"Noituri-kirjan ""Sezon burz"" ensimmäinen luku";2013;Kärkkäinen, Tapani;;;
Tähtivaeltaja;3;;;2018;Schluessel, Edmund;Pähkinänkuoreen suljettuna;Bound in a Nutshell;;Thorel, Christine;;;
Tähtivaeltaja;1;;;2020;Schluessel, Edmund;Trumpettifanfaari;Trumpet Voluntary;;Kontio, Heli;;;
Tähtivaeltaja;1;;;1994;Schow, David J.;Pahishatut;Bad Guy Hats;1989;Manninen, Pekka A.;;;
Tähtivaeltaja;4;;;1992;Shaw, Bob;Lelumaan yö;Dark Night in Toyland;1988;Mäkitalo, Vesa;;;
Tähtivaeltaja;1;;;1993;Simmons, Dan;Paluulippu Vietnamiin;E-Ticket to 'Namland;1987;Mäkitalo, Vesa;;;
Tähtivaeltaja;3;;;2019;Singh, Vandana;Somadeva: Taivaanvirran sutra;Somadeva: A Sky River Sutra;2010;Silvonen, Sarianna;;;
Tähtivaeltaja;4;;;2001;Smith, Douglas;Epäjärjestyksen kasvu;State of Disorder;1999;Kanto, Kari;;;
Tähtivaeltaja;4;;;1990;Spinrad, Norman;Iso lieska;The Big Flash;1969;Drews, Kristiina;;;
Tähtivaeltaja;2;;;1990;Spinrad, Norman;Kultaisen lauman viimeinen hurraa;The Last Hurrah of the Golden Horde;1969;Drews, Kristiina;;;
Tähtivaeltaja;1;;;1995;Sterling, Bruce;Dori Bangs;Dori Bangs;1989;Drews, Kristiina;;;
Tähtivaeltaja;1;;;1992;Sterling, Bruce;Kaksikymmentä muistikuvaa;Twenty Evocations;1984;Mäkitalo, Vesa;;;
Tähtivaeltaja;3;;;1992;Sterling, Bruce;Vajonneet puutarhat;Sunken Gardens;1984;Mäkitalo, Vesa;;;
Tähtivaeltaja;1;;;2004;Stross, Charles;Otteita klubin päiväkirjasta;Extracts from the Club Diary;1998;Blommila, Hannu;;;
Tähtivaeltaja;1;;;2010;Swainston, Steph;Hacilith 1805: Viillot;Hacilith 1805: Scarification;;Leikomaa, Marianne;;;
Tähtivaeltaja;4;;;2003;Swanwick, Michael;Sokea Minotaurus;The Blind Minotaur;1984;Blommila, Hannu;;;
Tähtivaeltaja;2;;;2003;Swanwick, Michael;Äiti Heinäsirkka;Mother Grasshopper;1997;Keynäs, Ville;;;
Tähtivaeltaja;1;;;2013;Tidbeck, Karin;Beatrice;Beatrice;2010;Paarma, Susanna;;;
Tähtivaeltaja;1;;;2011;Valente, Catherynne M.;Antarktiksen kartat - Ostajan opas;A Buyer's Guide to Maps of Antarctica;2008;Drews, Kristiina;;;
Tähtivaeltaja;4;;;2012;Valente, Catherynne M.;Borgesia Buenos Airesissa;Reading Borges in Buenos Aires;2009;Silvonen, Sarianna;;;
Tähtivaeltaja;4;;;2012;Valente, Catherynne M.;Näin ryhdyt Marsin ylivaltiaaksi;How to Become a Mars Overlord;2010;Silvonen, Sarianna;;;
Tähtivaeltaja;4;;;2012;Valente, Catherynne M.;Sekretario;Secretario;2010;Silvonen, Sarianna;;;
