Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Spin;1;;;2004;Swanwick, Michael;Elementit 83 Vismutti: Pepto-Bismol Show;The Pepto-Bismol Hour;2003;Jantunen, Paula;;;
Spin;1;;;2004;Swanwick, Michael;Elementit 84 Polonium: Äl' ota lainaa, äläkä myös anna (päivitetty Polonius);Neither a Borrower nor a Lender Be (Polonius Updated);2003;Paananen, Leila;;;
Spin;1;;;2004;Swanwick, Michael;Elementit 85 Astatiini: Hatara pää;Bad Brains;2003;Autio, Paula;;;
Spin;1;;;2004;Swanwick, Michael;Elementit 86 Radon: Hirviö kellarissa;Monster in the Basement;2003;Rosvall, Katja;;;
Spin;1;;;2004;Swanwick, Michael;Elementit 87 Frankium: Eläköön Frankium!;Vive la Francium!;2003;Hirvonen, Erja;;;
Spin;1;;;2004;Swanwick, Michael;Elementit 88 Radium: Pierre Curien haamu muistelee;The Ghost of Pierre Curie Reminisces;2003;Paananen, Leila;;;
Spin;1;;;2004;Swanwick, Michael;Elementit 89 Aktinium: Ryöstetyn aktiniumin tapaus;The Case of the Purloined Actinium;2003;Jantunen, Paula;;;
Spin;1;;;2004;Swanwick, Michael;Elementit 90 Torium: Mjöllnir;Mjolnir;2003;Rosvall, Katja;;;
Spin;2;;;2004;Swanwick, Michael;Elementit 91 Protaktinium: Tehdastähti;Forge Star;2003;Korhonen, Tytti;;;
Spin;2;;;2004;Swanwick, Michael;Elementit 92 Uraani: Uraaniherkkuja;Cooking With Uranium;2003;Korhonen, Tytti;;;
Spin;2;;;2004;Swanwick, Michael;Elementit 93 Neptunium: Neptunuksen valtameret;The Oceans of Neptune;2003;Paananen, Leila;;;
Spin;2;;;2004;Swanwick, Michael;Elementit 94 Plutonium: Silkkaa tiedettä;Pure Science;2003;Rosvall, Katja;;;
Spin;2;;;2004;Swanwick, Michael;Elementit 95 Amerikium: Ydinkiristystä;Nuclear Blackmail;2003;Paananen, Leila;;;
Spin;2;;;2004;Swanwick, Michael;Elementit 96 Curium: Pyhän äidin kirkko;Holy Mother Church;2003;Jantunen, Paula;;;
Spin;2;;;2004;Swanwick, Michael;Elementit 97 Berkelium: Kannatan piispa Berkeleyä!;Vindicating Bishop Berkeley;2003;Rosvall, Katja;;;
Spin;2;;;2004;Swanwick, Michael;Elementit 98 Kalifornium: Ydinkäsiaseet;Nuclear Handguns;2003;Rosvall, Katja;;;
Spin;2;;;2004;Swanwick, Michael;Elementit 99 Einsteinium: Yhtälöiden salainen rakastettu;The Dark Lady of the Equations;2003;Paananen, Leila;;;
Spin;2;;;2004;Swanwick, Michael;Elementit 100 Fermium: Fermin paradoksi;The Fermi Paradox;2003;Rosvall, Katja;;;
Spin;3;3-4/2004;;2004;Swanwick, Michael;Elementit 101 Mendelevium: Pyhän Mendelejevin juhla;The Feast of Saint Mendeleyev;2003;Rosvall, Katja;;;
Spin;3;3-4/2004;;2004;Swanwick, Michael;Elementit 102 Nobelium: Nobelin palkinnon vastaanottajaispuheeni (Julkaistuna tässä sitä epätodennäköistä mahdollisuutta ajatellen, etten koskaan tule pitämään sitä) ;My Nobel Prize Acceptance Speech (Presented Here Against the Unlikely Chance I Never Get to Deliver It;2003;Korhonen, Tytti;;;
Spin;3;3-4/2004;;2004;Swanwick, Michael;Elementit 103 Lawrencium: Amerikan Lawrence;Lawrence of America;2003;Jantunen, Paula;;;
Spin;3;3-4/2004;;2004;Swanwick, Michael;Elementit 104 Ruthefordium: Radioaktiivinen B. Hayes;"""Radioactive"" B. Hayes";2003;Hirvonen, Erja;;;
Spin;3;3-4/2004;;2004;Swanwick, Michael;"Elementit 105 Dubnium: George ""Dubna"" Bush";"George ""Dubna"" Bush";2003;Hirvonen, Erja;;;
Spin;3;3-4/2004;;2004;Swanwick, Michael;Elementit 106 Seaborgium: Meriborgit;The Sea Borg;2003;Rosvall, Katja;;;
Spin;3;3-4/2004;;2004;Swanwick, Michael;Elementit 107 Bohrium: Niels Boring;Boring Niels;2003;Jantunen, Paula;;;
Spin;3;3-4/2004;;2004;Swanwick, Michael;Elementit 108 Hassium: Hassu tapaus;To Hass and Hass Not;2003;Jantunen, Paula;;;
Spin;3;3-4/2004;;2004;Swanwick, Michael;Elementit 109 Meitnerium: Fyysikko Lise Meitner;Lise Meitner, Physicist;2003;Paananen, Leila;;;
Spin;3;3-4/2004;;2004;Swanwick, Michael;Elementit 110 Darmstadtium: Rumaa tiedettä;Science Made Ugly;2003;Rosvall, Katja;;;
Spin;3;3-4/2004;;2004;Swanwick, Michael;Elementit 111 Unununium: Käsitteiden määrittelyä;Defining Our Terms;2003;Paananen, Leila;;;
Spin;3;3-4/2004;;2004;Swanwick, Michael;Elementit 112 Ununbium: Älä räpäytä silmiäsi;Don't Blink!;2003;Rosvall, Katja;;;
Spin;3;3-4/2004;;2004;Swanwick, Michael;Elementit 113 Ununtrium: Mistä puhumme, kun puhumme ununtriumista;What We Talk About When We Talk About Ununtrium;2003;Rosvall, Katja;;;
Spin;3;3-4/2004;;2004;Swanwick, Michael;Elementit 114 Ununquadium: Vakauden saareke;Island of Stability;2003;Rosvall, Katja;;;
Spin;3;3-4/2004;;2004;Swanwick, Michael;Elementit 115 Ununpentium: Ylös, ylös ja matkaan!;Uup, Uup, and Awaaaaaaay!;2003;Rosvall, Katja;;;
Spin;3;3-4/2004;;2004;Swanwick, Michael;Elementit 116 Ununhexium: Espanjalaiset noidat;Spanish Witches;2003;Korhonen, Tytti;;;
Spin;3;3-4/2004;;2004;Swanwick, Michael;Elementit 117 Ununseptium: Lohikäärmerouva maailmanlopussa;The Dragon Lady at the End of Time;2003;Korhonen, Tytti;;;
Spin;3;3-4/2004;;2004;Swanwick, Michael;Elementit 118 Ununoctium: Nyt se näkyy nyt se;Now You See It Now You;2003;Paananen, Leila;;;
Spin;3;;;2003;Swanwick, Michael;Hidasta elämää;Slow Life;2001;Helkiö. Elina;;;
Spin;2;;;2003;Swanwick, Michael;Ja kissa sille nauroi;The Little Cat Laughed to See Such Sport;2002;Rosvall, Katja;;;
Spin;1;;;2012;Thompson, D.K.;Pyhän Darwinin henget;St. Darwin's Spirituals;2008;;;;
Spin;3;;;2007;van Eekhout, Greg;Kirjailijatalo;Authorwerx;2005;;;;
Spin;2;;;2015;Yu, Eugenia Lily;Kartturiampiaiset ja anarkistimehiläiset;The Cartographer Wasps and the Anarchist Bees;2011;;;;
Spin;2;;;2008;Aalto, Tero;Pimeän galaksin vangit;;;;;;
Spin;5;;;1999;Achrén, Jani;Auringonnousu;;;;;raapale;
Spin;5;;;1999;Achrén, Jani;Jäätynyt Maa;;;;;raapale;
Spin;5;;;1999;Achrén, Jani;Messiaan aikakirjat;;;;;raapale;
Spin;6;;;1999;Achrén, Jani;Pulsari PSR 1919+21;;;;;raapale;
Spin;2;;;2000;Achrén, Jani;Suru;;;;;raapale;
Spin;5;;;1999;Achrén, Jani;Toivomus;;;;;raapale;
Spin;3;;;1991;Ahonen, Marko;Ryynimakkaraa, rakkautta ja keltaista jaffaa;;;;;;
Spin;1;;;1991;Ahonen, Marko;Todennäköisyyksiä;;;;;;
Spin;2;;;1985;Ahonen, Susanna;Yksi jos jättää...;;;;;;
Spin;4;;;2008;Alasirniö, Anne;Merestä olet sinä tullut;;;;;;
Spin;3;;;2010;Alatalo, Katri;Älä riko pintaa;;;;;;
Spin;6;;;1998;anonyymi;Tamagotchi;;;;;raapale;
Spin;3;;;2012;Antila, Samuli;Matti Olavinpoika;;;;;;
Spin;4;;;1991;Anttalainen, Risto;Loma;;;;;;
Spin;4;;;1988;AZUR;Eräitä elämän pieniä pimeitä hetkiä;;;;;;
Spin;3;;;2008;Damlin, Peter;Fänrik Fredriks fantastiska flykt eli Luutnantti Laurin lentävä lähtö;;;;;raapale;
Spin;2;;;1982;Elo, Eija;Help!;;;;;;
Spin;4;;;1982;Elo, Eija;Kysykää - me vastaamme;;;;;;
Spin;1;;;1986;Elo, Eija;Talvikylmän järvet;;;;;;
Spin;4;;;1981;Elo, Eija;Tulevaisuuden työpaikka;;;;;;
Spin;1;;;1982;Elo, Eija;Tutun näköinen mies;;;;;;
Spin;3;;;1982;Elo, Eija;Ufotarina;;;;;;
Spin;3;;;2008;Erkki, Harri;Kesäyönä Kekkonen;;;;;;
Spin;2;;;1991;Erkki, Harri;Odotustilat;;;;;;
Spin;2;;;1996;Ervasti, Eppu;Raapale;;;;;raapale;
Spin;2;;;1991;Ervasti, Kaijus;Avaruussyksy;;;;;;
Spin;4;;;1990;Ervasti, Kaijus;D'Amri;;;;;;
Spin;3;;;1990;Ervasti, Kaijus;Huhtikuuma episodi;;;;;;
Spin;1;;;1989;Ervasti, Kaijus;Huisi hupaelma;;;;;;
Spin;4;;;1987;Ervasti, Kaijus;Kaksikymmentä vuotta;;;;runo;;
Spin;1;;;1989;Ervasti, Kaijus;Näinä aikoina tapahtuu kummia asioita;;;;runo;;
Spin;3;;;1990;Ervasti, Kaijus;Peili;;;;;;
Spin;1;;;1988;Ervasti, Kaijus;Shamaanin aika;;;;runo;;
Spin;4;;;1987;Ervasti, Kaijus;Tie kotiin isän satojen siipien;;;;;;
Spin;1;;;1991;Ervasti, Kaijus;Tuomio;;;;;;
Spin;3;;;1994;Gradistanac, Jussi;Vampyyri ja talonmies;;;;;;
Spin;3;;;1982;Haarikko, Harri;Huoli;;;;;;
Spin;3;;;1983;Haarikko, Harri;Kerjäläinen;;;;;;
Spin;1;;;1982;Haarikko, Harri;Liiketunnus;;;;;;
Spin;2;;;1983;Haarikko, Harri;Loputon vierailu;;;;;;
Spin;1;;;1983;Haarikko, Harri;Tarkkailijat;;;;;;
Spin;1;;;2003;Halme, Jukka;Puhtaat valkeat vaipat;;;;;;
Spin;3;3-4/2004;;2004;Halonen, Pekka;Peuraheimo;;;;;;
Spin;3;;;2002;Hannini, Petri;Luomispäivän komedia;;;;;;
Spin;2;;;2013;Hartman, Gabriel Israel;Uni;En dröm;1803;Roimola, Ben & Paarma, Susanna;;;
Spin;3;;;2000;Havila, Marjo;Päivän työ ;;;;;raapale;
Spin;3;;;2017;Heikkilä, Katariina;Tuuliruhtinatar;;;;;;
Spin;1;;;2014;Heikkinen, Janette;Valkoinen;;;;;;
Spin;1;;;1992;Hepo-oja, Risto;Erotessa;;;;runo;;
Spin;4;;;1987;Hinkkanen, Juhani;Mies joka ei herännyt;;;;;;
Spin;2;;;1988;Hinkkanen, Juhani;Vanha merimies;;;;;;
Spin;1;;;1985;Hinkkanen, Juhani;Yksin;;;;;;
Spin;4;;;2003;Huhtakallio, Juha;Kasvihuoneen laite;;;;;;
Spin;1;;;2009;Huhtakallio, Juha;Nukkekoti;;;;;;
Spin;4;b;;2004;Huhtanen, Noora;Hermokytkös;;;;;;
Spin;1;;;2014;Huotari, Olivia;Joka harhaili muistoitta;;;;;;
Spin;1;;;1998;Hurtta, Boris;Allahin kyyhkynen;;;;;;
Spin;2;;;1995;Hurtta, Boris;Tonttu;;;;;;
Spin;1;;;2000;Hurtta, Boris;Torni;;;;;;
Spin;3;;;1989;Hurtta, Boris;Ylioppilas M.G. Fennoniuksen jälkeen jääneet paperit;;;;;;
Spin;3;;;2009;Huttunen, Kristiina;Siunattu;;;;;;
Spin;3;;;1983;Hämäläinen, Timo-Jussi;Sekasorto;;;;;;
Spin;3;3-4/2015;;2015;Ihalainen, Maiju;Maan mahlaa;;;;;;
Spin;3;3-4/2013;;2013;Ihalainen, Maiju;Sirin piilo;;;;;;
Spin;3;;;1981;Jerrman, Toni;Alus;;;;;;
Spin;3;;;1981;Jerrman, Toni;Leikki;;;;;;
Spin;4;;;1981;Jerrman, Toni;Murhonien vitsaukset;;;;;;
Spin;2;;;1981;Jerrman, Toni;(viisi lyhyttä nimetöntä tekstiä);;;;;;
Spin;1;;;1987;Johansson, Nils;Kuuhun ja takaisin;;;;;;
Spin;2;;;2004;Juntunen, Katariina;Sielulinnut;;;;;;
Spin;4;;;2010;Jänkälä, Tomi;Uralin sininen;;;;;;
Spin;1;;;2017;Järvinen, Marko;Sinisen oven takana ;;;;;;
Spin;4;;;1999;Jääskeläinen, Janne;Armageddon;;;;;;
Spin;1;;;2000;Jääskeläinen, Pasi;Mekaanikko;;;;;;
Spin;2;;;2011;Kangasvuo, Jenny;Cuckoo's Egg;;;;;;
Spin;2;;;2003;Kangasvuo, Jenny;Nopeammin ja paremmaksi ja kauniimmaksi;;;;;;
Spin;1;;;2005;Kangasvuo, Jenny;Onnen kaukorantaan laine liplattaa;;;;;;
Spin;3;3-4/2004;;2004;Kangasvuo, Jenny;Vaativat arvet eli kertomus saumoistani;;;;;;
Spin;3;;;2014;Kantola, Camilla;Kauppakuja;;;;;;
