Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Usva;3;;;2006;Leila Paananen;Vain ihmisiä;;;;;;
Usva;2;;;2010;Niko, Peltonen;Niin oli kirjoitettu;;;;;;
Usva;4;b;;2010;Niko, Peltonen;Tähdenlento;;;;;;
Usva;1;;;2005;Sari Peltoniemi;Kainaloinen;;;;;;
Usva;2;;;2007;Sari Peltoniemi;Klasi;;;;;;
Usva;2;;;2006;Sari Peltoniemi;Lahjapoika;;;;;;
Usva;2;;;2008;Sari Peltoniemi;Nälkäiset pojat;;;;;;
Usva;4;;;2012;Olli Penttinen;Kokeilija;;;;;;
Usva;3;;;2010;Tiina Perkiö;Palasina;;;;;;
Usva;2;;;2013;Aleksi Peura;Everlyn Strix;;;;;;
Usva;1;;;2015;Aleksi Peura;Potilas P;;;;;;
Usva;3;;;2008;Mike Pohjola;Farared Finnen saaga;;;;;;
Usva;3;;;2006;Tiina Raevaara;Frida;;;;;;
Usva;4;;;2005;Tiina Raevaara;Matildan kuolema;;;;;;
Usva;4;;;2006;Tiina Raevaara;Mäkinen väki;;;;;;
Usva;4;;;2007;Tiina Raevaara;Sudenkorento;;;;;;
Usva;3;;;2005;Hannu Rajaniemi;Isännän ääni;;;;;;
Usva;3;;;2006;Petri Rautiainen;Toimenkuva: Ohjaaja;;;;;;
Usva;3;;;2007;Juha Rautio;Kun syreenit viimeksi kirkuivat;;;;;;
Usva;3;;;2007;Juha Rautio;Ullakko;;;;;;
Usva;1;;;2008;J.T.V. Rautio;Veen kalvakat nuoret neijot;;;;;;
Usva;2;;;2008;Marika Riikonen;Kokoelman helmi;;;;;;
Usva;4;;;2008;Marika Riikonen;Melkein viimeinen maailma;;;;;;
Usva;2;;;2009;Marika Riikonen;Mies, jolle kasvoi myyrän jalka;;;;;;
Usva;2;;;2016;Marika Riikonen;Pientä hienosäätöä;;;;;;
Usva;1;;;2009;Marika Riikonen;Pitkän yön aamu;;;;;;
Usva;1;;;2012;Marika Riikonen;Ryöstäjät;;;;;;
Usva;1;;;2009;Miha Rinne;G'Rork, vanha kehno;;;;;;
Usva;1;;;2015;G.M. Rissanen;Tuulivoimala;;;;;;
Usva;3;;;2007;Tommi Rosengren;Kauppamies;;;;;;
Usva;4;;;2010;A.C. Ross;Ruumis;;;;;;
Usva;3;;;2016;Toni Saarinen;Matrjoska-projekti;;;;;;
