Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Spin;3;;;2008;Saario, Mari;Frequently Used Initials - Föreningen för underliga intressen vd Åbo Akademi;Fandom, FUI;
Spin;5;;;1999;Anonyymi;Hallitusesittely;Fandom, TSFS;
Spin;1;;;2003;Anonyymi;Hallitusesittely 2003;Fandom, TSFS;
Spin;4;;;1989;Haarikko, Harri;Huru-ukkojen horinoita - Science fiction -fandomin perustajat puhuvat, paneeli FINNCON 1989:ssä 12.8.1989;Fandom;Haapio, Markku & Mäentaka, Kari & Ölander, Tom & Rekunen, Veikko
Spin;4;;;2006;Paananen, Leila & Ahonen, Johanna;Jäsenkyselyn tuloksia;Fandom, TSFS;
Spin;3;;;2009;Anonyymi;Kotipesämme Terris ja sen ympäristö;Fandom, TSFS;
Spin;1;;;1986;Hedman, Lars;Kun seura melkein kuoli;Fandom, TSFS;
Spin;2;;;2000;Anonyymi;Luurankoja kaapeissa - Hallitus 2000;Fandom, TSFS;
Spin;2;;;2008;Suntila, Shimo & Saaros, Kirsi & Ykspetäjä, Kaisa;Meidän Tähtiallianssimme ja Tähtien Sotamme;Fandom, Star Wars, Tähtiallianssi;
Spin;1;;;2002;Anonyymi;Noffaamaan!;Fandom, NOFF;
Spin;3;;;2017;Paananen, Leila & Mattila, Anna & Karppanen, Pasi & Mönkkönen, Juhani & Junnila, Johanna & Kauppila, Suvi & Verkkapuro, Ronja & Juusela, Katja;Näin meistä tuli nörttejä;Fandom;
Spin;1;;;2006;Paananen, Leila;Pikakelauksella läpi TSFS:n historian;Fandom, TSFS;
Spin;1;;;1996;Roimola, Ben;Pikakelauksella läpi TSFS:n vuosien;Fandom, TSFS;
Spin;1;;;2008;Korhonen, Tytti;Potter-harrastamisen monet muodot;Fandom, Harry Potter;
Spin;3;;;2010;Aalto, Milla & Ulanto, Mirka & Aisala, Heikki & Leinonen, Anne & Strömsholm, Vilgot & Ykspetäjä, Tero & Karppanen, Pasi;Science fiction ja fantasia Turussa;Fandom, TSFS, Turun yliopiston tieteiskulttuurikabinetti, Tutka, Turun animeseura, Suomen tieteiskirjoittajat, Föreningen för underliga intressen, Turun mafia, Turun varjomafia;
Spin;1;;;2013;Paananen, Leila;Scifistien tiedonhankinta;Fandom;
Spin;1;;;1986;Piha, Tapani;Suomessa ei tiettävästi vielä ole tieteiskirjallisuuden yhdistystä…;Fandom, TSFS;
Spin;2;;;2011;Karppanen, Pasi;The Finnish Fandom - All You Need to Know About It;Fandom;
Spin;3;;;1997;Anonyymi;TSFS kyseli, te vastasitte;Fandom, TSFS;
Spin;2;;;1997;Anonyymi;TSFS ry:n hallitus 1997;Fandom, TSFS;
Spin;5;;;1996;Suntila, Simo & Roimola, Ben;TSFS:n Flipperiklubi 1 v!;Fandom, TSFS;
