Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Alienisti;;;14;2003;Vesa Korhonen;Varjot;;;;;;
Alienisti;;;37;2017;Pasti Koski;Hullu tiedemies;;;;;raapale;
Alienisti;;;37;2017;Pasti Koski;Keinolla millä hyvänsä;;;;;raapale;
Alienisti;;;37;2017;Pasti Koski;Oranssi hirviö;;;;;raapale;
Alienisti;;;26;2011;Markus Koskimies;Turingin toinen testi;;;;;;
Alienisti;;;40;2019;Joanna Kurki;Metsästäjä;;;;;raapale;
Alienisti;;;37;2017;Joanna Kurki;Raapale, sadan sanan ihme;;;;;raapale;
Alienisti;;;27;2011;Petri Laine;Violetin kuun kuiskaus;;;;;;
Alienisti;;;19;2006;Natalia Laurila;Väripata;;;;;;
Alienisti;;;14;2003;Mika-Petri Lauronen;Elämäntanssi;;;;;;
Alienisti;;;1;1990;Mika-Petri Lauronen;Erkki;;;;;;
Alienisti;;;2;1990;Mika-Petri Lauronen;Katusoittaja;;;;;raapale;
Alienisti;;;2;1990;Mika-Petri Lauronen;Kissa;;;;;;
Alienisti;;;5;1992;Mika-Petri Lauronen;Kohtaus kadotuksen suolla;;;;;;
Alienisti;;;35;2016;Mika-Petri Lauronen;Lainauskorvaukset;;;;;raapale;
Alienisti;;;2;1990;Mika-Petri Lauronen;Marjassa;;;;;raapale;
Alienisti;;;25;2010;Mika-Petri Lauronen;Night of the Wings;;;;runo;;
Alienisti;;;6;1992;Mika-Petri Lauronen;Toivon kamera;;;;;;
Alienisti;;;10;1999;Mika-Petri Lauronen;Zeuksen siemen;;;;;;
Alienisti;;;25;2010;Mauri Lehtonen;Hiljaisuus väistyy;;;;;;
Alienisti;;;25;2010;Marianne Leikomaa;Apollon laulu;;;;;;filk
Alienisti;;;25;2010;Marianne Leikomaa;Kirjarutto;;;;;;filk
Alienisti;;;25;2010;Marianne Leikomaa;Makeanveden kalmarin juhla;;;;;;filk
Alienisti;;;25;2010;Marianne Leikomaa;Sci-fistin itkuvirsi, v2;;;;;;filk
Alienisti;;;25;2010;Marianne Leikomaa;Twilight - Houkutus;;;;;;filk
Alienisti;;;25;2010;Marianne Leikomaa;Ylistys suomalaiselle fandomille;;;;;;filk
Alienisti;;;35;2016;Anne Leinonen;Lähes täydellinen brändi;;;;;;
Alienisti;;;25;2010;Klaus Maunuksela;variin, tango;;;;runo;;
Alienisti;;;16;2004;J.K. Miettinen;Vaihtokauppa;;;;;;
Alienisti;;;9;1995;Hanna Mäkelä;Punatukkainen;;;;;;
Alienisti;;;10;1999;Otto Mäkelä;Habitus-forming;;;;;;
Alienisti;;;13;2002;Isto Männikkö;Inverttisokeri;;;;;;
Alienisti;;;28;2010;Timo Männikkö;Pieni askel;;;;;;
Alienisti;;;36;2016;P. Nahkuri;Karpaloita;;;;;;
Alienisti;;;18;2005;Heikki Nevala;Tähtilapset;;;;;;
Alienisti;;;16;2004;Kalle Nuortimo;Klingonit;;;;;;filk
Alienisti;;;16;2004;Kalle Nuortimo;Punainen joulu;;;;;;filk
Alienisti;;;16;2004;Niilo Paasivirta;Mordorin armeijakunta;;;;;;filk
Alienisti;;;16;2004;Niilo Paasivirta;Palpatine;;;;;;filk
Alienisti;;;16;2004;Niilo Paasivirta;Pommi-ilta;;;;;;filk
Alienisti;;;16;2004;Niilo Paasivirta;Tuomiovuoreen Sormus heitä;;;;;;filk
Alienisti;;;24;2010;Sari Peltoniemi;Täti Maumun tupa;;;;;;
Alienisti;;;29;2012;Kari Perttula;Jumal-hiukkasen etsinnästä                  ;;;;;;
Alienisti;;;29;2012;Aleksi Peura;Joutoaika;;;;;;
Alienisti;;;25;2010;Eeva Pohjonen;Luna;;;;runo;;
Alienisti;;;25;2010;Eeva Pohjonen;Maan päällä ei ikuista ole;;;;runo;;
Alienisti;;;25;2010;Eeva Pohjonen;Murehe;;;;runo;;
Alienisti;;;25;2010;Eeva Pohjonen;Tähtitorni;;;;runo;;
Alienisti;;;34;2015;Matti Puranen;Mozg;;;;;;
Alienisti;;;23;2009;Perttu Puranen;Kuu;;;;runo;;
