Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Portti;3;;;2011;Lehtonen, Sanna;Lumooja, noita vai samaani? Pohjoisen etnisyyden kuvauksia englanninkielisessä lastenfantasiakirjallisuudessa;Fantasia;
Portti;4;;;1997;Leikola, Anto;Merikäärmeet ja järvihirviöt;Fantasia, Mytologia;
Portti;4;;;1995;Leikola, Anto;Minotaurus ja sfinksi;Fantasia, Mytologia;
Portti;4;;;2009;Erkki, Harri;Myytit ja tulkinnat: Ennen ja jälkeen vedenpaisumuksen;Fantasia;
Portti;2;;;1995;Leikola, Anto;Runoratsusta kuolemattomaan kauhuun;Fantasia;
Portti;2;;;1997;Leikola, Anto;Salamanteri, tulen tuttava;Fantasia;
Portti;4;;;1992;Leikola, Anto;Seireenien taru: syöjätärlinnuista pikku merenneidoksi;Fantasia, Mytologia;
Portti;2;;;2001;Mänttäri, Tiina;Taikuus, noituus ja magia - opetus New Yorkista Tylypahkaan;Fantasia;
Portti;2;;;1996;Leikola, Anto;Tuhkasta nouseva feeniks;Fantasia, Mytologia;
Portti;1;;;2006;Soikkeli, M.G.;Unohdetut jättiläiset;Fantasia;
Portti;2;;;1994;Leikola, Anto;Yksisarvinen - sarvekas taruhepo neidon sylissä;Fantasia, Mytologia;
Portti;2;;;1990;anonyymi;Philip José Farmer: Kultaisen kimalluksen jäljillä;;Farmer, Philip José
Portti;1;;;1984;Harenko, Ari;Philip José Farmer - universumien tekijä;;Farmer, Philip José
Portti;2;;;1992;Salin, Petri;Saanko kajota piilotajuntaanne;;Farmer, Philip José
Portti;3;;;2001;Murtosaari, Jukka;Virgil Finlay;Taide Kuvitus, Virgil Finlay;
Portti;3;;;2012;Iivonen, Jyrki;Fitzgerald - Amerikkalaisen modernismin suuri nimi;;Fitzgerald, Francis Scott
Portti;2;;;2000;Murtosaari, Jukka;Frank Frazetta;Taide, Kuvitus, Frank Frazetta;
Portti;4;;;2014;Koponen, Jari;Øvre Richter Frich - Ihmekeksintöjä ja inhoja roistoja;;Frich, Øvre Richter
Portti;3;;;1990;Salin, Petri;Aikamatkaajan paluu;;Friedell, Egon
Portti;2;;;2000;Mänttäri, Tiina;Enkeleitä ja pieniä erikoisuuksia;;Gaiman, Neil
Portti;3;;;1994;Salin, Petri;Terry Gilliamin lentävä sirkus;Elokuvat, Terry Gilliam;
Portti;1;;;2018;Iivonen, Jyrki;Grimmin veljekset - saksalaisten kansansatujen kokoajat;Sadut, Grimmin veljekset;
Portti;1;;;2013;Iivonen, Jyrki;Kadonneiden maailmojen kuvaaja;;Haggard, H. Rider
Portti;2;;;1997;Hurtta, Boris;Kuningas Haggardin aarteet;;Haggard, H. Rider
Portti;2;;;2015;Bengtsson, Niklas;Tieteisvisioilla maailmanmaineeseen - Simo Hannulan exllibrikset;Taide, Simo Hannula;
Portti;2;;;2004;Bengtsson, Niklas;Seppo Harjulehto - utopisti ja pitkän linjan puurtaja;;Harjulehto, Seppo
Portti;4;;;2016;Koponen, Jari;Filosofin uni;;Hartman, Gabriel Israel
Portti;2;;;2019;Iivonen, Jyrki;W.F. Harvey - brittiläisen kauhukirjallisuuden keskeisi…;;Harvey, W.F.
Portti;2;;;1994;Jalava, Markku;Rick Hautala - tuntematon kauhukirjailija;;Hautala, Rick
Portti;2;;;2012;Iivonen, Jyrki;Nathaniel Hawthorne - fantasian ja romantiikan mestari;;Hawthorne, Nathaniel
Portti;4;;;1991;Nyman, Jukka;Lafcadio Hearn;;Hearn, (Patrick) Lafcadio (Tessima Carlos)
Portti;4;;;2008;Kuusniemi, Tuomas;"""Kultainen polku"" - Frank Herbertin Dyyni-sarjan dynaaminen dystopia";;Herbert, Frank
Portti;2;;;1988;Mustonen, Sirpa;Robert A. Heinlein;;Heinlein, Robert A.
Portti;2;;;1995;Schönenbröcker, Michael;Wolfgang Hohlbein privaatissa;;Hohlbein, Wolfgang
Portti;1;;;1990;Sadelehto, Markku;Howard ja barbaari;;Howard, Robert E.
Portti;4;;;2014;Iivonen, Jyrki;Robert E. Howard - Toinen 1930-luvun kertojista;;Howard, Robert E.
Portti;3;;;2001;Whetton, Cris;In Memoriam;;Hoyle, Fred
Portti;3;;;2003;Hurtta, Boris;Mars-tähden kävijät ja muita kirjoja;;Hurtta, Boris
Portti;1;;;1989;anonyymi;Portinaukossa Boris Hurtta;;Hurtta, Boris
Portti;4;;;1991;Salin, Petri;Kolme askelta kohti uljaampaa uutta maailmaa;;Huxley, Aldous
Portti;1;;;1986;Peltonen, Leena;Hurjan inhimillinen peto;Ihmissudet;
Portti;4;;;2010;Hinkkanen, Juhani;In Memoriam;;Ijäs, Jyrki
Portti;1;;;2006;Leikola, Anto;Suomen ensimmäinen kauhuromaani ja sen tekijä;Kauhu, Suomi;Ingelius, Axel Gabriel
Portti;2;;;1993;Hurtta, Boris;A.E. Ingman - muistamisen arvoinen mielikuvittelija;;Ingman, A(lfred) E(mil)
Portti;1;;;2010;Iivonen, Jyrki;Washington Irving;;Irving, Washington
Portti;2;;;2014;Iivonen, Jyrki;W.W. Jacobs - Merimiesromantiikasta kauhukirjallisuuden klassikoksi;Kauhu;Jacobs, W.W.
Portti;3;;;2016;Iivonen, Jyrki;Impressionistisen kerronnan mestari;;James, Henry
Portti;3;;;2015;Iivonen, Jyrki;Kauhuromantiikkaa Cambridgen yliopistosta;;James, Montague Rhodes
Portti;3;;;2014;Nupponen, Anni;Muumilaaksosta Suomenlahdelle;;Jansson, Tove
Portti;3;;;1994;Sarmavuori, Katri;Ovatko muumit tieteiskirjallisuutta?;;Jansson, Tove
Portti;3;;;2012;Koponen, Jari;Ennen niskalaukausta;;Jasienski, Bruno
