Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Tähtivaeltaja;2;;;1994;Hänninen, Harto;Korskuvat karjut - Film Hunks from A to W;Elokuvat;
Tähtivaeltaja;1;;;1999;Jerrman, Toni;"Kulttiohjaaja Ivan ""The Terror"" Cardoson kiehnäävä nauru";Elokuvat;
Tähtivaeltaja;3;;;1996;Jerrman, Toni;Kulttivideoiden kuninkaat - Fred Olen Ray & David DeCoteau;Elokuvat;
Tähtivaeltaja;2;;;1995;Lehtinen, Lauri;Lohikäärmeen kirous - Leet kuolivat, legendat elävät;Elokuvat;
Tähtivaeltaja;3;;;1997;Jerrman, Toni;Lucio Fulci - 6 kovinta, 6 goreinta, 6 kauhuinta;Elokuvat;
Tähtivaeltaja;4;;;1986;Hiltunen, Petri;Mad Max - yksinäinen soturi etsimässä kohtaloaan;Elokuvat;
Tähtivaeltaja;3;;;1998;Manninen, Pekka A.;Magic Sword;Elokuvat;
Tähtivaeltaja;3;;;2001;Jerrman, Toni;Maitland McDonagh - Kuinka päästä Dario Argentosta nudistileirille;Elokuvat;
Tähtivaeltaja;4;;;1998;Jerrman, Toni;Masato Harada - Yakuzoja ja jättirobotteja;Elokuvat;
Tähtivaeltaja;4;;;1999;Jerrman, Toni;Matka ajan keskipisteeseen;Elokuvat;
Tähtivaeltaja;4;;;1999;Jerrman, Toni;Méliès d'Or ja Sitgesin kansainvälinen elokuvafestivaali;Elokuvat;
Tähtivaeltaja;2;;;2004;Jerrman, Toni;Méliès d'Or 2004 - Psykopaatit irrallaan Amsterdamissa;Elokuvat;
Tähtivaeltaja;2;;;1994;Dove, Jeff;Meyeristin tunnustukset - näkökulma Russ Meyerin elokuviin;Elokuvat;
Tähtivaeltaja;1;;;1992;Virolainen, Nalle;Miekkoja, magiaa ja muskeleita eli melkein kaikki;Elokuvat;
Tähtivaeltaja;3;;;2001;Manninen, Pekka A.;Mongolit;Elokuvat;
Tähtivaeltaja;2;;;1999;Manninen, Pekka A.;Moonchild - Kuunlapsi;Elokuvat;
Tähtivaeltaja;1;;;2002;Jerrman, Toni;Night Visions - Back to Basics;Elokuvat;
Tähtivaeltaja;2;;;2012;Jerrman, Toni;Night Visions - Back to Basics 2012;Elokuvat;
Tähtivaeltaja;2;;;2014;Jerrman, Toni;Night Visions - Back to Basics 2014;Elokuvat;
Tähtivaeltaja;2;;;2018;Jerrman, Toni;Night Visions - Back to Basics 2018;Elokuvat;
Tähtivaeltaja;4;;;2009;Jerrman, Toni;Night Visions - Maximum Halloween 3009;Elokuvat;
Tähtivaeltaja;4;;;2011;Jerrman, Toni;Night Visions - Maximum Halloween 3011;Elokuvat;
