Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Finnzine;1;;;1998;Sirkiä, Pekka;Fasismia, rasismia, militarismia?;;Heinlein, Robert A.
Finnzine;4;;;2007;Soikkeli, M.G.;Kuuban vieras kylmässä maassa;;Henrķquez, Bruno
Finnzine;1;;;2002;Oikarinen, Antti;Antti Oikarinen tapasi Jukka Hiekkalan;;Hiekkala, Jukka
Finnzine;4;;;1994;Supinen, Pekka;Kirjankerääjä Juhani Hinkkanen sai Necronomiconin 40-vuotissynttäri-lahjakseen!;;Hinkkanen, Juhani
Finnzine;2;;;2004;Oikarinen, Antti;Kunniavieras Robin Hobb;;Hobb, Robin
Finnzine;2;;;2000;Hurtta, Boris;Niilo Klimin maanalainen matka;;Holberg, Ludvig
Finnzine;4;;;1994;Supinen, Pekka;Boris Hurtta kirjoittaa veijarijännäreitä;;Hurtta, Boris
Finnzine;3;;;2003;Hurtta, Boris;Valehtelijan klubi;;Hurtta, Boris
Finnzine;2;;;1993;Anonyymi;Jyrki miehen ijässä - Jyrki Ijäs 50 V!;;Ijäs, Jyrki
Finnzine;1;;;1995;Supinen, Pekka;"""Kuumapää"" Simon Ings kävi kylässä";;Ings, Simon
Finnzine;3;;;1996;Salin, Petri;Vähäisempi taipumus epäselvään ja pöhöttyneeseen metafysiikkaan erottaa Simon Ingsin amerikkalaisista cyberpunk-serkuistaan;;Ings, Simon
Finnzine;2;;;1994;Väisänen, Hannu;Hypertekstejä kyberavaruudesta;Internet;
Finnzine;4;;;1992;Heiskanen, Jussi-Ville;Piuhat irti;Internet;
Finnzine;3;;;1998;Lehtola, Jarkko;Scifistin käsikirja käymättömille kotisivuille;Internet;
Finnzine;3;;;1995;Sirkiä, Pekka;Surfaten sf-taivaaseen - kevyt johdanto internetin sf-resursseihin;Internet;
Finnzine;2;;;1994;Krohn, Leena;Tiedon verkoissa;Internet;
Finnzine;3;;;1992;Sirkiä, Pekka;Atorox-voittajan haastattelu!;;Isomäki, Risto
Finnzine;3;;;1994;Supinen, Pekka;Kehitysuskovaisuus versus modernisaatiokritiikki;;Isomäki, Risto
Finnzine;4;;;1997;Supinen, Pekka;Pimeän pilven ritarit kaahaava avaruudessa;;Isomäki, Risto
Finnzine;3;;;2005;Soikkeli, M.G.;Risto Isomäki - suomalaisen tieteisfiktion viimeine…;;Isomäki, Risto
Finnzine;2;;;2001;Kataisto, Vesa;Tove Jansson 1914-2001;;Jansson, Tove
Finnzine;2;;;2004;Sirkiä, Pekka;Haastattelussa Finnconin kunniavieras Toni Jerrman;;Jerrman, Toni
Finnzine;4;;;1992;Sirkiä, Pekka;Tohtori Kyy on oikein hyvä scifi!;;Jeter, K(evin) W(ayne)
Finnzine;4;;;1997;Soikkeli, M.G.;Jones ja maailmanloppu Oulussa;;Jones, Gwyneth
Finnzine;2;;;1993;Anonyymi;Karmeeta kauhua!;Kauhu;
Finnzine;3;;;1994;Mölläri, Pekka;Herra Kipling kauhistuttaa jälleen;;Kipling, Rudyard
Finnzine;1;;;2004;Lauronen, Mika-Petri;Erään kirjoituskilpailun anatomia - ajatuksia Ekoscifikilpailusta;Kirjoittaminen, kilpailut;
Finnzine;1;;;1994;Sarmavuori, Katri;Kharonin lauttaa luettiin Koskenniemenkadulla;Kirjoittaminen;
Finnzine;3;;;1993;Anonyymi;Kuinka opettajaksi opiskeleva lukee Neuromanceria;Kirjoittaminen;
Finnzine;3;;;2007;Soikkeli, M.G.;Matalin magia löytyy fantasiadraamasta eli pohdintoja…;Kirjoittaminen;
Finnzine;4;;;1998;Soikkeli, M.G.;Mitä voi sanoa auringosta? - eli vakava valmentautuminen scifi-kirjoituskilpailuun;Kirjoittaminen;
Finnzine;2;;;2008;Salin, Petri;Novellimellakointia tois puol jokke;Kustantaminen;
Finnzine;3;;;2007;Soikkeli, M.G.;Pienkustantajat pelastavat kirjallisuuden;Kustantaminen;
Finnzine;1;;;2007;Anonyymi;Turbator aloittaa novellikirjasarjan;Kustantaminen;
Finnzine;2;;;1995;Sarmavuori, Katri;Atoroxin voittaja;;Lahtela, Atro
Finnzine;1;;;2003;Langford, David;Vuotolaitos vuotaa jälleen;;Langford, David
Finnzine;3;;;2008;Tynjälä, Tanya;Latinalais-amerikkalainen tieteiskirjallisuus;Latinalainen Amerikka, Science fiction;
Finnzine;2;;;1997;Lappalainen, Markku;Timbuktulainen haastattelu;;Lehtonen, Kimmo
Finnzine;3;;;1992;Anonyymi;Hello out there! or in memory of Fritz Leiber;;Leiber, Fritz
Finnzine;4;;;2007;Supinen, Pekka;Devoted Souls - Peliromaani;;Leinonen, Anne
Finnzine;3;;;2003;Karppanen, Pasi;Kotimaisen scifin tapahtumahorisontissa #1;;Leinonen, Anne
Finnzine;3;;;1998;Salin, Petri;To Die, to Sleep, Perchance to Dream;;Lovecraft, H(oward) P(hillips)
Finnzine;1;;;2006;Hlinovsky, Jan;Lounaalla G.R.R. Martinin kanssa;;Martin, George R.R.
Finnzine;2;;;1995;Mölläri, Pekka;Prahan savinen ihminen ja Gustav Meyrink;;Meyrink, Gustav
Finnzine;3;;;1992;Sirkiä, Pekka;Hulkkonen ei hätkähdä;;Nenonen, Kari
Finnzine;4;;;2006;Haarikko, Harri;Nainen joka luki Kari Nenosta;;Nenonen, Kari
Finnzine;4;;;2006;Hurtta, Boris;Tuntematon Kari Nenonen;;Nenonen, Kari
Finnzine;2;;;1993;Resnick, Leonid;This Dull Boring Paradise;Neuvostoliitto, Venäjä;
Finnzine;4;;;2006;Sirkiä, Pekka;1,2,3... Soikkeli!!! Portin novellikilpailun tulokset;Palkinnot, kilpailut;
Finnzine;4;;;1997;Sirkiä, Pekka;12. Portin novellikilpailu: Näkökulmia 2;Palkinnot, kilpailut;
Finnzine;1;;;2004;Sirkiä, Pekka;"""50 novellia olisi voinut julkaista pienellä toimittamisella""";Palkinnot, kilpailut;
Finnzine;3;;;2005;Anonyymi;Anne Salminen ja Tero Niemi nappasivat Atoroxin;Palkinnot, Atorox;
Finnzine;3;;;1996;Mölläri, Pekka;Atorox 1995;Palkinnot, Atorox;
Finnzine;3;;;2004;Allén, Suvi;Atorox-palkinto Anne Leinoselle;Palkinnot, Atorox;Leinonen, Anne
Finnzine;3;;;2005;Anonyymi;Ekoscifi 2005 ratkennut;Palkinnot, kilpailut;
Finnzine;3;;;2005;Finckelman, Johan;Fandom uusiutuu ja palkitsee Turussa;Palkinnot, kilpailut;
Finnzine;3;;;2005;Anonyymi;Johanna Nordling voitti tiukan NOVA-kisan ;Palkinnot, kilpailut;Nordling, Johanna
