Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Usva;3;;;2013;Tuoni, Johannes;Joka ikkunaa vasten painautuu;;;;runo;;
Usva;2;;;2008;Tykkä, Saana;Siivetön;;;;;;
Usva;4;;;2007;Tykkä, Saana;Sisko;;;;;;
Usva;2;;;2009;Ulanto, Mirka;Heitä murhe mielestäsi / päästä paha tuuleen;;;;;;
Usva;4;;;2009;Vaasjoki, Susi;Tähdenniemi;;;;;;
Usva;3;;;2008;Virtanen, Raimo;Aikaan sinikellojen;;;;;;
Usva;4;;;2012;Vähäpesola, Aino Tuulikki;3:30;;;;runo;;
Usva;4;;;2012;Vähäpesola, Aino Tuulikki;15:30;;;;runo;;
Usva;4;;;2012;Vähäpesola, Aino Tuulikki;F#-mollissa;;;;runo;;
Usva;4;;;2012;Vähäpesola, Aino Tuulikki;Maapallon vapaapäivä;;;;runo;;
Usva;4;;;2012;Vähäpesola, Aino Tuulikki;Desperatio/vuorovesi;;;;runo;;
Usva;4;;;2012;Vähäpesola, Aino Tuulikki;Koko S, polyamidia, puuvillaa ja elastaania;;;;runo;;
Usva;1;;;2014;Väisänen, Hannu;Kaksipäinen pyhimys;;;;;;
