creator_str,title,misc,imported_string
"Martin, George R(aymond) R(ichard)","Miekkamyrsky 2",". , nide 2.","

<b>Miekkamyrsky 2</b>. Tulen ja jään laulu osa 3, nide 2. (A Storm of Swords 2: Blood and Gold, 2000). 
Suom Satu Hlinovsky. Kustannusosakeyhtiö Kirjava 2006. [F]."
"Martinheimo, Asko","Isojalkainen poika","Kuusi tositapausta.","
<a href=""novkok/mar-ip.htm"">
<b>Isojalkainen poika</b></a>. Kuusi tositapausta. WSOY 1996. [nF,kok 5/6]."
"Masefield, John (Edward)","Keskiyön kansaa",".  Kirja","
<b>Keskiyön kansaa</b>. (The Midnight Folk, 1927). Suom Aune Suomalainen. Kirja 1928. [nF]."
"Mazzarella, Merete",Marraskuu,". (November, )","
<b>Marraskuu</b>. (November, 2004) Tammi 2004. [SF]."
"Meresmaa, J. S.","Keskilinnan ritarit",". Sisältää pienoisromaanit Aseenkantajan kunnia, Ritarin ansio ja Kuninkaan tahto.","

<b>Keskilinnan ritarit</b>. Sisältää pienoisromaanit Aseenkantajan kunnia, Ritarin ansio ja Kuninkaan tahto. Osuuskumma-kustannus 2016 [F]."
"Meyer, Stephenie","Houkutus - kuvitettu opas vampyyrisaagaan","., Hilla Hautajoki, Tiina Ohinmaa, Pirjo Ruti ja Marlene Sanoukian.","

<b>Houkutus - kuvitettu opas vampyyrisaagaan</b>. (The Twilight Saga: The Official Illustrated Guide, 2011). 
Suom Pirkko Biström, Hilla Hautajoki, Tiina Ohinmaa, Pirjo Ruti ja Marlene Sanoukian. WSOY 2011. [nK]."
"Meyn, Niels","Seikkailuja maailman avaruudessa",". Kirja","

<b>Seikkailuja maailman avaruudessa</b>. (Rejsen til Venus, 1915). Kirja 1923. [nSF]."
"Michaelis, Richard C.","Kommunistinen yhteiskunta vuonna 2000",". Jatkoa ja vastaus Edward Bellamyn romaaniin &quot;Vuonna &quot;.  1909.","
<b>Kommunistinen yhteiskunta vuonna 2000</b>. Jatkoa ja vastaus Edward Bellamyn 
romaaniin &quot;Vuonna 2000&quot;. (Looking Further Forward. An Answer to Looking Backward 
by Edward Bellamy, 1890). Suom Heikki Karjalainen. Karisto 1909. [SF]."
"Moloney, Susie",Sateenaika,". ja","
<b>Sateenaika</b>. (A Dry Spell, 1997). Suom Ilkka Äärelä ja Ulla Selkälä. WSOY 1998. [K]."
"Moore, Christopher (G.)","Pyrstö","eli tiedän miksi siivekäs valas laulaa.","

<b>Pyrstö</b> eli tiedän miksi siivekäs valas laulaa. (Fluke, Or, I Know Why the 
Winged Whale Sings, 2003). Suom Petri Stenman. Like 2004. [SF]."
"More, Sir Thomas",Utopia,".sekä johdannolla ja selityksillä varustanut Marja Itkonen-Kaila.","
<b>Utopia</b>. (De optimo statu reipublicae deque nova insula utopia, 1516). 
Suom sekä johdannolla ja selityksillä varustanut Marja Itkonen-Kaila. Taskutieto 69. WSOY 1971. [SF]."
"Moucantur, T. P.",Mantereet,". Osa 1.","
<b>Mantereet</b>. Osa 1. Mediapinta 2009. [F]."
"Moucantur, T. P.",Mantereet,". Osa 2.","

<b>Mantereet</b>. Osa 2. Mediapinta 2010. [F]."
"Moucantur, T. P.",Mantereet,". Osa 3.","

<b>Mantereet</b>. Osa 3. Mediapinta 2013. [F]."
"Murakami, Haruki","Kafka rannalla",". (englannista).","
<b>Kafka rannalla</b>. (Umibe no Kafuka, 2002). Suom Juhani Lindblom (englannista). Keltainen kirjasto 396. Tammi 2010. [F]."
"Murakami, Haruki","Suuri lammasseikkailu",". (englannista).","

<b>Suuri lammasseikkailu</b>. (Hitsuji o meguru boken, 1982). Suom Leena Tamminen (englannista). Keltainen kirjasto 267. Tammi 1993. [F]."
"Möller, Isted","Burgheimin kapina",". 10.","
<b>Burgheimin kapina</b>. (Revolten i Burgheim, 1908). Suomalaisen kansan romaanikirjasto 10. 1910. [SF]."
"Møller, Otto Martin","Kultaa ja kunniaa","(Vain yksi vihko ilmestyi?) . (Vain yksi vihko ilmestyi?).","
<b>Kultaa ja kunniaa</b>. (Guld og aere, 1895). (Vain yksi vihko ilmestyi?). Uoti & Grönroos 1987. [SF]."
"Niles, Douglas",Villihaltiat,". : Ikivillien tarina.","

<b>Villihaltiat</b>. Kadonneet Historiat 1: Ikivillien tarina. (The Kagonesti, 
1995). Suom Renne Nikupaavola. Kustannus Oy Jalava 2000. [F]."
"Noronen, Paula (Karoliina)","Yökoulu ja kadonnut opettaja",". Kuvitus Kati Närhi.","
<b>Yökoulu ja kadonnut opettaja</b>. Kuvitus Kati Närhi. Lukupalat-sarja. WSOY 2016. [nK]."
"Noronen, Paula (Karoliina)","Yökoulu ja kauheat naapurit",". Kuvitus Kati Närhi.","

<b>Yökoulu ja kauheat naapurit</b>. Kuvitus Kati Närhi. Lukupalat-sarja. WSOY 2017. [nK]."
"Noronen, Paula (Karoliina)","Yökoulu ja noidutut tossut",". Kuvitus Kati Närhi.","

<b>Yökoulu ja noidutut tossut</b>. Kuvitus Kati Närhi. Lukupalat-sarja. Tammi 2018. [nK]."
"Noronen, Paula (Karoliina)","Yökoulu ja vaarallinen operaatio",". Kuvitus Kati Närhi.","

<b>Yökoulu ja vaarallinen operaatio</b>. Kuvitus Kati Närhi. Lukupalat-sarja. Tammi 2019. [nK]."
"Norton, Mary","Lentävä sänky",".Ritva (Anneli) Toivola.","

<b>Lentävä sänky</b>. (Bedknob and Broomstick, 1970). Suom Ritva (Anneli) Toivola. Weilin & Göös 1987. [nF]."
"Nummelin, Juri (toim.)",Hallusinatsioneja,"Vanhoja suomalaisia kauhutarinoita.","
<a href=""novkok/num-ha.htm"">
<b>Hallusinatsioneja</b></a>. Vanhoja suomalaisia kauhutarinoita. Faros 2012. [K,kok]."
"Nummelin, Juri (toim.)","Kehrääjä","Vanhoja suomalaisia kauhunovelleja.","

<a href=""novkok/num-ke.htm"">
<b>Kehrääjä</b></a>. Vanhoja suomalaisia kauhunovelleja. Helmivyö 2019. [K,kok]."
"Nummelin, Juri (toim.)","Kirotun kirjan vartija","alaisia Cthulhu-tarinoita.","

<a href=""novkok/num-kk.htm"">
<b>Kirotun kirjan vartija</b></a>. Suomalaisia Cthulhu-tarinoita. Kustannus Jalava 2016. [K,kok]."
"Nummelin, Juri (toim.)","Kuun pimeä puoli","alaisia ihmissusinovelleja.","

<a href=""novkok/num-kp.htm"">
<b>Kuun pimeä puoli</b></a>. Suomalaisia ihmissusinovelleja. Kustannus Jalava 2013. [K,kok]."
"Nummelin, Juri (toim.)","Sadan vuoden unet","Satuja aikuisille.","

<a href=""novkok/num-sv.htm"">
<b>Sadan vuoden unet</b></a>. Satuja aikuisille. Kustannus Jalava 2017. [F,kok]."
"Nummelin, Juri (toim.)","Sininen tiikeri","Kryptozoologisia novelleja.","

<a href=""novkok/num-st.htm"">
<b>Sininen tiikeri</b></a>. Kryptozoologisia novelleja. Helmivyö 2018. [F,kok]."
"Nummelin, Juri (toim.)","Tuhansien zombien maa","Tarinoita elävistä kuolleista ja Suomesta. Tarinoita elävistä kuolleista jaesta.","

<a href=""novkok/num-tz.htm"">
<b>Tuhansien zombien maa</b></a>. Tarinoita elävistä kuolleista ja Suomesta. Turbator 2009. [K,kok]."
"Nummelin, Juri (toim.)",Verenhimo,"alaisia vampyyritarinoita.","

<a href=""novkok/num-vh.htm"">
<b>Verenhimo</b></a>. Suomalaisia vampyyritarinoita. Kustannusosakeyhtiö Teos 2011. [K,kok]."
"Nummelin, Juri (toim.)","Viides testamentti",". Turun seudun kirjoittajien jännitysnovelleja -2007. 2007.","

<b>Viides testamentti</b>. Turun seudun kirjoittajien jännitysnovelleja 1939-2007. Turbator 2007. [K,kok 2/10]."
"Nyman, Stefan","Anna online",". (Anna är online, )  2009.","
<b>Anna online</b>. (Anna är online, 2008) Suom Laura Beck. Teos 2009. [K]."
"Näsälä, Matti",Alais,". Algot Primuksen lentävä avaruushuoltoasema.","
<b>Alais</b>. Algot Primuksen lentävä avaruushuoltoasema. Nordbooks 2009. [SF]."
"Oehlenschläger, Adam","Aladdin eli ihmeellinen lamppu",".  Radiota varten sovittanut Hjalmar Gullberg.","
<b>Aladdin eli ihmeellinen lamppu</b>. (Aladdin, 1805). Suom Aale Tynni. Radiota 
varten sovittanut Hjalmar Gullberg. Pieni kirjasto 12. WSOY 1954. [F]."
Outsider,"Atorox, ihmisten valtias",". (AH)","
<b>Atorox, ihmisten valtias</b>. Mantere 1947. (AH) [SF]."
Outsider,"Atorox kuussa",". (AH)","

<b>Atorox kuussa</b>. Kansankirja 1947. (AH) [SF]."
Outsider,"Atorox Marsissa",". (AH)","

<b>Atorox Marsissa</b>. Kansankirja 1947. (AH) [SF]."
Outsider,"Atorox Merkuriuksessa",". (AH)","

<b>Atorox Merkuriuksessa</b>. Kansankirja 1948. (AH) [SF]."
Outsider,"Atorox Venuksessa",". (AH)","

<b>Atorox Venuksessa</b>. Kansankirja 1947. (AH) [SF]."
Outsider,"Atoroxin paluu v.2948",". (AH)","

<b>Atoroxin paluu v.2948</b>. Kansankirja 1948. (AH) [SF]."
Outsider,"Avaruusahvääri",". (ST)","

<b>Avaruusahvääri</b>. Pekka Lipposen seikkailuja 62. Ajanviete 1962. (ST)"
Outsider,Avaruusmarsalkka,". (ST)","

<b>Avaruusmarsalkka</b>. Pekka Lipposen seikkailuja 63. Ajanviete 1962. (ST)"
Outsider,"Etelämeren hirviö",". (ST)","

<b>Etelämeren hirviö</b>. Pekka Lipposen seikkailuja 73. Ajanviete 1963. (ST)"
Outsider,"Huuto Haudasta",". (ST)","

<b>Huuto Haudasta</b>. Pekka Lipposen seikkailuja 91. Ajanviete 1964. (ST)"
Outsider,"Kauhujen saari",". (ST)","

<b>Kauhujen saari</b>. Pekka Lipposen seikkailuja 95. Ajanviete 1964. (ST)"
Outsider,"Kenraali Korkki ja Prinssi Lipponen",". (AH)","

<b>Kenraali Korkki ja Prinssi Lipponen</b>. Kalle-Kustaa Korkin seikkailuja 9. Mantere 1950. (AH)"
Outsider,"Konstaapeli Mäkäräinen erehtyy",". (AH)","

<b>Konstaapeli Mäkäräinen erehtyy</b>. Pekka Lipposen seikkailuja 32. Ajanviete 1959. (AH)"
Outsider,"Maa jonka aika unohti",". (ST)","

<b>Maa jonka aika unohti</b>. Pekka Lipposen seikkailuja 83. Ajanviete 1963. (ST)"
Outsider,"Teloittajan testamentti",". (ST)","

<b>Teloittajan testamentti</b>. Pekka Lipposen seikkailuja 44. Ajanviete 1960. (ST)"
Outsider,"Tiibetin lumimies",". (AH)","

<b>Tiibetin lumimies</b>. Pekka Lipposen seikkailuja 9. Ajanviete 1957. (AH)"
Outsider,"Tohtori Capran robotti",". (ST)","

<b>Tohtori Capran robotti</b>. Pekka Lipponen ja Kalle-Kustaa Korkki 1. Ajanviete 1965. (ST)"
"Paakonmaa, Ville","Bileamin varjo","Tekijän kustantama, . Tekijän kustantama, Joensuu,","
<b>Bileamin varjo</b>. Tekijän kustantama, Joensuu, 1972. [F]."
"Parland, Henry (George William)",Khimaira,".  M-sarja 22.","
<b>Khimaira</b>. Toim Harri Kumpulainen. Suom Petri Salin.	M-sarja 22. Turbator 2011. [F,kok]."
"Paulow, Ari",Khilafa!,". Valtakunta.","
<b>Khilafa!</b>. Valtakunta. Johnny Kniga 2011. [SF]."
"Peltoniemi, Sari","Ainakin tuhat laivaa","Kertomuksia täältä ja muualta. Kertomuksia täältä ja muualta.","
<a href=""novkok/pel-at.htm"">
<b>Ainakin tuhat laivaa</b></a>. Kertomuksia täältä ja muualta. Tammi 2005. [nF, kok]."
"Scheer, K.H.","Kauhun hetkiä kuussa",".. Jatkolukemisto. No 1-16:.","
<b>Kauhun hetkiä kuussa</b>. Perry Rhodan, Miehemme maailmankaikkeudessa 1. (Unternehmen Stardust, 1961). Suom R.N. Jatkolukemisto. No 1-16:1975. Etelä-Suomen kustannus Oy 1975. [SF]."
"Scheer, K.H.","Uusi supermahti iskee","<h2>Darlton, Clark</h2>. Jatkolukemisto. No 1-16:.","

<h2>Darlton, Clark</h2>
<b>Uusi supermahti iskee</b>. Perry Rhodan, Miehemme maailmankaikkeudessa 2. (Die dritte Macht, 1961). Suom M-L. Vuorjoki. Jatkolukemisto. No 1-16:1975. Etelä-Suomen kustannus Oy 1975. [SF]."
"Scheer, K.H.","Yksin kaikkia vastaan","<h2>Scheer, K.H.</h2>. Jatkolukemisto. No 1-16:.","

<h2>Scheer, K.H.</h2>
<b>Yksin kaikkia vastaan</b>. Perry Rhodan, Miehemme maailmankaikkeudessa 3. (Die strahlende Kuppel, 1961). Suom R.N. Jatkolukemisto. No 1-16:1975. Etelä-Suomen kustannus Oy 1975. [SF]."
"Scheer, K.H.","Tuhon tunneli","<h2>Darlton, Clark</h2>. Jatkolukemisto. No 1-16:.","

<h2>Darlton, Clark</h2>
<b>Tuhon tunneli</b>. Perry Rhodan, Miehemme maailmankaikkeudessa 4. (Götterdämmerung, 1961). Suom M-L. Vuorjoki. Jatkolukemisto. No 1-16:1975. Etelä-Suomen kustannus Oy 1975. [SF]."
"Scheer, K.H.","Hyökkäys avaruudesta","<h2>Mahr, Kurt</h2>. Jatkolukemisto. No 1-16:.","

<h2>Mahr, Kurt</h2>
<b>Hyökkäys avaruudesta</b>. Perry Rhodan, Miehemme maailmankaikkeudessa 5. (Atom-Alarm, 1961). Suom R.N. Jatkolukemisto. No 1-16:1975. Etelä-Suomen kustannus Oy 1975. [SF]."
"Scheer, K.H.",Mutanttijoukot,"<h2>Scheer, K.H.</h2>. Jatkolukemisto. No 1-16:.","

<h2>Scheer, K.H.</h2>
<b>Mutanttijoukot</b>. Perry Rhodan, Miehemme maailmankaikkeudessa 6. (Das Mutanten-Korps,1961). Suom R.N. Jatkolukemisto. No 1-16:1975. Etelä-Suomen kustannus Oy 1975. [SF]."
"Scheer, K.H.",Soluttautujat,"<h2>Darlton, Clark</h2>. Jatkolukemisto. No 1-16:.","

<h2>Darlton, Clark</h2>
<b>Soluttautujat</b>. Perry Rhodan, Miehemme maailmankaikkeudessa 7. (Invasion aus dem All, 1961). Suom M-L. Vuorjoki. Jatkolukemisto. No 1-16:1975. Etelä-Suomen kustannus Oy 1975. [SF]."
"Scheer, K.H.","Venuksen salaisuus","<h2>Mahr, Kurt</h2>. Jatkolukemisto. No 1-16:.","

<h2>Mahr, Kurt</h2>
<b>Venuksen salaisuus</b>. Perry Rhodan, Miehemme maailmankaikkeudessa 8. (Die Venusbasis). Suom M-L. Vuorjoki. Jatkolukemisto. No 1-16:1975. Etelä-Suomen kustannus Oy 1975. [SF]."
"Scheer, K.H.","Pelastakaa Maa","<h2>Shols, W.W.</h2>. Jatkolukemisto. No 1-16:.","

<h2>Shols, W.W.</h2>
<b>Pelastakaa Maa</b>. Perry Rhodan, Miehemme maailmankaikkeudessa 9. (Hilfe fÜr die Erde). Suom R.N. Jatkolukemisto. No 1-16:1975. Etelä-Suomen kustannus Oy 1975. [SF]."
"Scheer, K.H.","Taistelu Wegan herruudesta","<h2>Scheer, K.H.</h2>. Jatkolukemisto. No 1-16:.","

<h2>Scheer, K.H.</h2>
<b>Taistelu Wegan herruudesta</b>. Perry Rhodan, Miehemme maailmankaikkeudessa 10. (Raumschlacht im Wega-Sektor, 1961). Suom R.N. Jatkolukemisto. No 1-16:1975. Etelä-Suomen kustannus Oy 1975. [SF]."
"Scheer, K.H.","Mutantit hyökkäävät","<h2>Mahr, Kurt</h2>. Jatkolukemisto. No 1-16:.","

<h2>Mahr, Kurt</h2>
<b>Mutantit hyökkäävät</b>. Perry Rhodan, Miehemme maailmankaikkeudessa 11. (Mutanten im Einsatz, 1961). Suom M-L. Vuorjoki. Jatkolukemisto. No 1-16:1975. Etelä-Suomen kustannus Oy 1975. [SF]."
"Scheer, K.H.","Aikaholvin arvoitus","<h2>Darlton, Clark</h2>  Jatkolukemisto. No 1-16:.","

<h2>Darlton, Clark</h2> 
<b>Aikaholvin arvoitus</b>. Perry Rhodan, Miehemme maailmankaikkeudessa 12. (Das Geheimniss des Zeitgruft, 1961). Suom P. Syynimaa. Jatkolukemisto. No 1-16:1975. Etelä-Suomen kustannus Oy 1975. [SF]."
"Scheer, K.H.","Kuuden kuun linnoitus","<h2>Scheer, K.H.</h2>  Jatkolukemisto. No 1-16:.","

<h2>Scheer, K.H.</h2>
<b>Kuuden kuun linnoitus</b>. Perry Rhodan, Miehemme maailmankaikkeudessa 13. (Die Festung der sechs Monde, 1961). Suom P. Syynimaa. Jatkolukemisto. No 1-16:1975. Etelä-Suomen kustannus Oy 1975. [SF]."
"Scheer, K.H.","Kosminen sokkoleikki","<h2>Darlton, Clark</h2>. Jatkolukemisto. No 1-16:.","

<h2>Darlton, Clark</h2>
<b>Kosminen sokkoleikki</b>. Perry Rhodan, Miehemme maailmankaikkeudessa 14. (Das galaktische Rätsel, 1961). Suom M-L. Vuorjoki. Jatkolukemisto. No 1-16:1975. Etelä-Suomen kustannus Oy 1975. [SF]."
"Scheer, K.H.","Aikamatka menneisyyteen","<h2>Darlton, Clark</h2>  Jatkolukemisto. No 1-16:.","

<h2>Darlton, Clark</h2>
<b>Aikamatka menneisyyteen</b>. Perry Rhodan, Miehemme maailmankaikkeudessa 15. (Die Spur durch Zeit und Raum, 1961). Suom R. Halonen. Jatkolukemisto. No 1-16:1975. Etelä-Suomen kustannus Oy 1975. [SF]."
"Scheer, K.H.","Pimeän planeetan aaveet","<h2>Mahr, Kurt</h2>  Jatkolukemisto. No 1-16:.","

<h2>Mahr, Kurt</h2>
<b>Pimeän planeetan aaveet</b>. Perry Rhodan, Miehemme maailmankaikkeudessa 16. (Die Geister von Gol, 1961). Suom Raili Niemelä. Jatkolukemisto. No 1-16:1975. Etelä-Suomen kustannus Oy 1975. [SF]."
"Peuranen, Sakari","Praedor - Uponneen jumalan uni",". Kuvitus Petri Hiltunen.","
<b>Praedor - Uponneen jumalan uni</b>. Kuvitus Petri Hiltunen. Vaskikirjat 2018. [F]."
"Pilhjerta, Ritva-Liisa (toim.)","Kokematon kummitus",".  Tam tam -kirjat.","
<b>Kokematon kummitus</b>. Valikoima kummituskertomuksia. Suom Raija Mattila. Tam tam -kirjat. Tammi 1973. [nK,kok]."
"Pispa, Kaija",Silkkipytty,"Sulon ja Tildan seikkailut Hiidenharjussa. . Sulon ja Tildan seikkailut Hiidenharjussa.","

<b>Silkkipytty</b>. Sulon ja Tildan seikkailut Hiidenharjussa. WSOY 2011. [nF]."
"Poe, Edgar Allan","Rue Morguen murhat ja muita kertomuksia","Valinnut ja","

<b>Rue Morguen murhat ja muita kertomuksia</b>. Valinnut ja suom Paavo Lehtonen. Sapo 177. WSOY 1975. [K,kok]."
"Puhakainen, Eeva (toim.)","Böö! 2","Aavemaisia tarinoita.","
<a href=""novkok/puh-b2.htm"">
<b>Böö! 2</b></a>. Aavemaisia tarinoita. Helsinki Media Company Oy 2000. [nK,kok]."
"Pushkin, Alexander",Patarouva,".  Kirja","
<b>Patarouva</b>. (Pikovaja dama, 1833). Suom J. Virtanen. Valtion kustannusliike Kirja 1930. [K]."
"Pähkinälinna, Paul","Ei sanoin - mutta teoin",". 1-2 osa. Inkerin romaani.","
<b>Ei sanoin - mutta teoin</b>. 1-2 osa. Inkerin romaani. Tekijä 1934. [PF,SF]."
"Rabelais, François","Pantagruelin neljäs kirja",". Esipuhe Arto Kivimäki.","

<b>Pantagruelin neljäs kirja</b>. (Le quart livre des faicts et dits he?roi?ques du bon Pantagruel, 1552). 
Esipuhe Arto Kivimäki. Suom Ville Keynäs. Siltala 2014. [F]."
"Rabelais, François","Suuren Gargantuan hirmuinen elämä",".  Runot suom V. Arti.","

<b>Suuren Gargantuan hirmuinen elämä</b>. (La vie inestimable du grand 
Gargantua, pere de Pantagruel, 1534). Suom Erkki Ahti. Runot suom V. Arti. Gummerus 1947. [F]."
"Rautapalo-Rapp, T.","Mustan kuunarin harharetke",t.,"
<b>Mustan kuunarin harharetke</b>t. Poikien sininen sarja 17. Kansankirja 1947. [nSF]."
"Reid, Desmond","Maailman valloittajat",". :.","
<b>Maailman valloittajat</b>. (The World Shakers, 1960). Sexton Blake -sarja 5:1962. Kolmio-kirja 1962. [SF]."
"Reponen, Kalervo","Luutnantti Harhon rakkaus",". Kirja Oy","
<b>Luutnantti Harhon rakkaus</b>. Kirja Oy 1929. [F]."
"Reynolds, Alastair (Barry)",Kuilukaupunki,". Osa I.","

<b>Kuilukaupunki</b>. Osa I. (Chasm City, 2001). Suom Hannu Tervaharju. Like SciFi -sarja. Like 2004. [SF]."
"Reynolds, Alastair (Barry)",Kuilukaupunki,". Osa II.","

<b>Kuilukaupunki</b>. Osa II. (Chasm City, 2001). Suom Hannu Tervaharju. Like SciFi -sarja. Like 2004. [SF]."
"Rice, Anne (O'Brien)","Kuinka Prinsessa Ruusunen hurmataan","Alkuteos julkaistiin salanimellä A. N. Roquelaure. . Alkuteos julkaistiin salanimellä A. N. Roquelaure.","

<b>Kuinka Prinsessa Ruusunen hurmataan</b>. (The Claiming of Sleeping Beauty, 1983). Alkuteos julkaistiin salanimellä A. N. Roquelaure. Suom Timo Utterström. Basam Books Oy 2014. [F]."
"Rice, Anne (O'Brien)","Kuinka Prinsessa Ruusunen vapautetaan","Alkuteos julkaistiin salanimellä A. N. Roquelaure. . Alkuteos julkaistiin salanimellä A. N. Roquelaure.","

<b>Kuinka Prinsessa Ruusunen vapautetaan</b>. (Beauty's Release, 1985). Alkuteos julkaistiin salanimellä A. N. Roquelaure. Suom Timo Utterström. Basam Books Oy 2014. [F]."
"Rice, Anne (O'Brien)","Kuinka Prinsessa Ruususta rangaistaan","Alkuteos julkaistiin salanimellä A. N. Roquelaure. . Alkuteos julkaistiin salanimellä A. N. Roquelaure.","

<b>Kuinka Prinsessa Ruususta rangaistaan</b>. (Beauty's Punishment, 1984). Alkuteos julkaistiin salanimellä A. N. Roquelaure. Suom Timo Utterström. Basam Books Oy 2014. [F]."
"Riggs, Ransom","Kolkko kaupunki",". Toinen romaani neiti Peregrinen eriskummallisista lapsista.","
<b>Kolkko kaupunki</b>. Toinen romaani neiti Peregrinen eriskummallisista lapsista. (Hollow City, 2014). 
Suom Kaisa Kattelus. S&S 2016. [F]."
"Roberts, (Sir) Charles G(eorge) D(ouglas)","Ihmiselon aamuna",".  Kirja","
<b>Ihmiselon aamuna</b>. (In the Morning of Time, 1919). Suom Aili Nieminen. Kirja 1921. [Paleof]."
"Roberts, (Sir) Charles G(eorge) D(ouglas)","Tulen löytäjät","2.laitos (lyhennetty):","

2.laitos (lyhennetty): <b>Tulen löytäjät</b>. Punainen sulka -sarja 14. WSOY 1959."
"Rohmer, Sax","Kultainen naamio",". Eripainos Lukemista kaikille -lehdestä.","

<b>Kultainen naamio</b>. Eripainos Lukemista kaikille -lehdestä. Ilmarinen Oy 1946. [F]."
"Rosvall, Matti (toim.)","Maailma mielen mukaan",Toim.,"
<a href=""novkok/ros-mm.htm"">
<b>Maailma mielen mukaan</b></a>. Toim Matti Rosvall. Suom Matti Rosvall. Sci-fi -sarja. WSOY 1986. [SF,kok]."
"Rucker, Rudy (Rudolf von Bittner)","Robojen poika",". &","
<b>Robojen poika</b>. (Wetware, 1988). Suom Sari Kallioinen & Anita Puumalainen. FAN-sarja. WSOY 1993. [SF]."
"Rucker, Rudy (Rudolf von Bittner)",Software,". &","

<b>Software</b>. (Software, 1982). Suom Sari Kallioinen & Anita Puumalainen. FAN-sarja. WSOY 1992. [SF]."
"Sadelehto, Markku (toim.)","Amerikkalaiset aaveet",&,"
<a href=""novkok/sad-aa.htm"">
<b>Amerikkalaiset aaveet</b></a>. Suom Sari Kallioinen & Anita Puumalainen. FAN-sarja. WSOY 1995. [K,kok]."
"Sadelehto, Markku (toim.)","Englantilaiset aaveet",&,"

<a href=""novkok/sad-ea.htm"">
<b>Englantilaiset aaveet</b></a>. Suom Sari Kallioinen & Anita Puumalainen. FAN-sarja. WSOY 1994. [K,kok]."
"Sadelehto, Markku (toim.)","Julma on rakkaus",&,"

<a href=""novkok/sad-jr.htm"">
<b>Julma on rakkaus</b></a>. Suom Sari Kallioinen & Anita Puumalainen. Kauhusarja 22. Kustannus Oy Jalava 1992. [K,kok]."
"Sadelehto, Markku (toim.)","Kuoleman kirjat 2",",  &","

<a href=""novkok/sad-k2.htm"">
<b>Kuoleman kirjat 2</b></a>. Suom Sari Kallioinen, Anita Puumalainen & Ulla Selkälä. FAN-sarja. WSOY 1993. [K,kok]."
"Sadelehto, Markku (toim.)","Musta kivi",&,"

<a href=""novkok/sad-mk.htm"">
<b>Musta kivi</b></a>. Suom Ulla Selkälä & Ilkka Äärelä. FAN-sarja. WSOY 1995. [F,kok]."
"Sadelehto, Markku (toim.)","Outoja tarinoita 1",", Leena Peltonen & Tapani Ronni.","

<a href=""novkok/sad-o1.htm"">
<b>Outoja tarinoita 1</b></a>. Suom Ulla Selkälä, Leena Peltonen & Tapani Ronni. Kauhusarja 7. Kustannus Oy Jalava 1990. [K,kok]."
"Sadelehto, Markku (toim.)","Outoja tarinoita 2",&,"

<a href=""novkok/sad-o2.htm"">
<b>Outoja tarinoita 2</b></a>. Suom Ulla Selkälä & Ilkka Äärelä. Kauhusarja 13. Kustannus Oy Jalava 1990. [K,kok]."
"Sadelehto, Markku (toim.)","Outoja tarinoita 3","& Ossi Hiekkanen.","

<a href=""novkok/sad-o3.htm"">
<b>Outoja tarinoita 3</b></a>. Suom Ulla Selkälä & Ossi Hiekkanen. Kauhusarja 18. Kustannus Oy Jalava 1991. [K,kok]."
"Sadelehto, Markku (toim.)","Outoja tarinoita 5",&,"

<a href=""novkok/sad-o5.htm"">
<b>Outoja tarinoita 5</b></a>. Suom Ulla Selkälä & Ilkka Äärelä. Kustannus Oy Jalava 1993. [K,kok]."
"Sadelehto, Markku (toim.)","Pimeyden linnake",",  & Markku Sadelehto.","

<a href=""novkok/sad-pl.htm"">
<b>Pimeyden linnake</b></a>. Suom Ulla Selkälä, Ilkka Äärelä & Markku Sadelehto. Fantasiasarja 4. Kustannus Oy Jalava 1991. [F,kok]."
"Sadelehto, Markku (toim.)","Suuri hiljaisuus",&,"

<a href=""novkok/sad-sh.htm"">
<b>Suuri hiljaisuus</b></a>. Suom Ulla Selkälä & Ilkka Äärelä. Kustannus Oy Jalava 1995. [K,kok]."
"Saloranta, Tuomas","Homoloordi ulkoavaruudesta",". Kuoriaisvihkot KV001.","

<b>Homoloordi ulkoavaruudesta</b>. Kuoriaisvihkot KV001. Kuoriaiskirjat 2018. [SF]."
"Saloranta, Tuomas & Pitkä, Jyrki (toim.)",Murhamystiikkaa,"Okkulttisia etsivätarinoita. Okkulttisia etsivätarinoita.","
<a href=""novkok/sal-mm.htm"">
<b>Murhamystiikkaa</b></a>. Okkulttisia etsivätarinoita. Aavetaajuus-kirjat 1. Tajunta Media 2014. [K,kok]."
"Salvatore, R(obert) A(nthony)","Kloonien hyökkäys",". - Episodi II. Episode II: Attack of the Clones, )..","

<b>Kloonien hyökkäys</b>. Star Wars - Episodi II. Star Wars Episode II: Attack 
of the Clones, 2002). Suom Ilkka Äärelä. WSOY 2002. [SF]."
"Sammalkorpi, Virve","Paflagonian perilliset: Iax Agolaskyn päiväkirjan säästyneet sivut",". Valokuvat Pekka Nikrus.","
<b>Paflagonian perilliset: Iax Agolaskyn päiväkirjan säästyneet sivut</b>. Valokuvat Pekka Nikrus. Karisto 2016. [F]."
"Sandemo, Margit","Nainen rannalla",".  1997.","

<b>Nainen rannalla</b>. (Kvinnen på stranden, 1987). Jääkansan tarina 34. Suom Marja
Mahlamkäki. Oy Kirjaviihde - Boknöje Ab 1995. [F]1997."
