creator_str,title,misc,imported_string
"Dickens, Charles",Joulun-aatto,".  Uusi romaani-jakso, 3. vuosikerta 3.","

<b>Joulun-aatto</b>. (A Christmas Carol in Prose, Or Being a Ghost Story of Christmas, 1843). Suom Waldemar Churberg. Uusi romaani-jakso, 3. vuosikerta 3. W. Churberg 1878. [F]."
"Dillberg, Gustav","Seikkailuja Makatea-saarella",". Mukaillen suomennettu.","
<b>Seikkailuja Makatea-saarella</b>. (Äventyr på Makatea-ön, 1913). Mukaillen suomennettu. Mailta ja meriltä 33. Otava 1915. [F]."
"DiTerlizzi, Tony & Black, Holly","Draakkien ruhtinas",". Kolmas osa kolmesta.","

<b>Draakkien ruhtinas</b>. Spiderwickin kronikat II. Kolmas osa kolmesta. (Beyond the Spiderwick Chronicles 2: 
The Wyrm King, 2009). Suom Ulla Lempinen. WSOY 2010. [nF]."
"DiTerlizzi, Tony & Black, Holly","Jättiläispulma",". Toinen osa kolmesta.","

<b>Jättiläispulma</b>. Spiderwickin kronikat II. Toinen osa kolmesta. (Beyond the Spiderwick Chronicles 2: 
A Giant Problem, 2008). Suom Ulla Lempinen. WSOY 2009. [nF]."
"DiTerlizzi, Tony & Black, Holly","Lammenneidon laulu",". Ensimmäinen osa kolmesta.","

<b>Lammenneidon laulu</b>. Spiderwickin kronikat II. Ensimmäinen osa kolmesta. (Beyond the Spiderwick Chronicles 1: 
Nixie's Song, 2007). Suom Ulla Lempinen. WSOY 2008. [nF]."
"Dneprov, Anatoli",Purppuramuumio,"ja Roy Sirokov.","
<a href=""novkok/dne-pm.htm"">
<b>Purppuramuumio</b></a>. (Purpurnaja mumija). Suom U. Ruhanen ja Roy Sirokov. Edistys 1968. [SF,kok]."
"Dominik, Hans",Atlantis,".. Kirja","
<b>Atlantis</b>. (Atlantis, 1925). Suom K.V. Raitio. Kirja 1926. [SF]."
"Dominik, Hans","Dshingiskaanin jälki",".. Kirja","

<b>Dshingiskaanin jälki</b>. (Die Spur des Dschinges-Khan, 1923). Suom K.V. Raitio. Kirja 1924. [SF]."
"Dominik, Hans","Kolmen miehen valta",".. Kirja","

<b>Kolmen miehen valta</b>. (Die Macht der Drei, 1922). Suom K.V. Raitio. Kirja 1923. [SF]."
"Donnelly, Jennifer","Kirjaan kadonnut",". Kaunotar ja hirviö.","
<b>Kirjaan kadonnut</b>. Kaunotar ja hirviö. (Beauty and the Beast: Lost in a Book, 2017). Suom Saara Pääkkönen. Sanoma Magazines Finland 2017. [nF]."
